Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABUTI,,Abutilon Mill.,Indian mallow
ABTH,,Abutilon theophrasti Medik.,velvetleaf
ABTH,ABAV,Abutilon avicennae Gaertn.,
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",
ACALY,,Acalypha L.,copperleaf
ACAU6,,Acalypha australis L.,Asian copperleaf
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,
ACVI,,Acalypha virginica L.,Virginia threeseed mercury
ACANT3,,Acanthospermum Schrank,starbur
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur
ACAU2,MEAU,Melampodium australe Loefl.,
ACAU2,ACXA,Acanthospermum xanthioides DC.,
ACHI,,Acanthospermum hispidum DC.,hispid starbur
ACHU,MEHU5,Melampodium humile Sw.,
ACHU,,Acanthospermum humile (Sw.) DC.,low starbur
ACER,,Acer L.,maple
ACFR,,Acer ×freemanii A.E. Murray [rubrum × saccharinum],Freeman maple
ACCA5,,Acer campestre L.,hedge maple
ACGI,,Acer ginnala Maxim.,Amur maple
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,
ACNE2,,Acer negundo L.,boxelder
ACNEN,NEAC,Negundo aceroides (L.) Moench,
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,
ACNEN,,Acer negundo L. var. negundo,boxelder
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,
ACNI5,,Acer nigrum Michx. f.,black maple
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,
ACPA2,,Acer palmatum Thunb.,Japanese maple
ACPE,,Acer pensylvanicum L.,striped maple
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,
