Search type: State

Gymnosperm

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABIES,,Abies Mill.,fir
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir
ABBAB,PIBA3,Pinus balsamea L.,
ABHO,,Abies homolepis Siebold & Zucc.,Nikko fir
ABMA,,Abies magnifica A. Murray bis,California red fir
CHAMA4,,Chamaecyparis Spach,cedar
CHTH2,,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",Atlantic white cedar
CHTH2,CHHE4,Chamaecyparis henryae H.L. Li,
CHTH2,CHTHH,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb. var. henryae (H.L. Li) Little",
CHTH2,CUTH,Cupressus thyoides L.,
CHTH2,CUTHH,Cupressus thyoides L. ssp. henryae (H.L. Li) Silba,
GINKG,,Ginkgo L.,ginkgo
GIBI2,,Ginkgo biloba L.,maidenhair tree
JUNIP,,Juniperus L.,juniper
JUCO6,,Juniperus communis L.,common juniper
JUCOD,,Juniperus communis L. var. depressa Pursh,common juniper
JUCOD,JUCA13,Juniperus canadensis Lodd. ex Burgsd.,
JUCOD,JUCOD2,Juniperus communis L. ssp. depressa (Pursh) Franco,
JUCOD,JUDE4,Juniperus depressa (Pursh) Raf.,
JUHO2,,Juniperus horizontalis Moench,creeping juniper
JUHO2,JUHOA2,Juniperus horizontalis Moench var. argentea hort.,
JUHO2,JUHOD,Juniperus horizontalis Moench var. douglasii hort.,
JUHO2,JUHOG2,Juniperus horizontalis Moench var. glauca Hornibr.,
JUHO2,JUHOV,Juniperus horizontalis Moench var. variegata Beissn.,
JUHO2,JUHU3,Juniperus hudsonica Forbes,
JUHO2,JUPR2,Juniperus prostrata Pers.,
JUHO2,JURE4,Juniperus repens Nutt.,
JUHO2,JUVIP,Juniperus virginiana L. var. prostrata (Pers.) Torr.,
JUHO2,SAHO7,Sabina horizontalis (Moench) Rydb.,
JUHO2,SAPR10,Sabina prostrata (Pers.) Antoine,
JUVI,,Juniperus virginiana L.,eastern redcedar
JUVIV,,Juniperus virginiana L. var. virginiana,eastern redcedar
JUVIV,JUVIC,Juniperus virginiana L. ssp. crebra (Fernald & Grisc.) A.E. Murray,
JUVIV,JUVIC2,Juniperus virginiana L. var. crebra Fernald & Grisc.,
JUVIV,SAVI11,Sabina virginiana (L.) Antoine,
LARIX,,Larix Mill.,larch
LADE2,,Larix decidua Mill.,European larch
LAKA2,,Larix kaempferi (Lam.) Carrière,Japanese larch
LAKA2,LALE6,Larix leptolepis (Siebold & Zucc.) Gordon,
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LALA,LAAL6,Larix alaskensis W. Wight,
LALA,LALAA5,Larix laricina (Du Roi) K. Koch var. alaskensis (W. Wight) Raup,
LALA,LALAA9,Larix laricina (Du Roi) K. Koch ssp. alaskensis (W. Wight) Silba,
METAS2,,Metasequoia Miki ex Hu & W.C. Cheng,dawn redwood
MEGL8,,Metasequoia glyptostroboides Hu & W.C. Cheng,dawn redwood
PICEA,,Picea A. Dietr.,spruce
PIAB,,Picea abies (L.) Karst.,Norway spruce
PIAB,PIEX2,Picea excelsa (Lam.) Link,
PIGL,,Picea glauca (Moench) Voss,white spruce
PIGL,PICA10,"Picea canadensis (Mill.) Britton, Sterns & Poggenb.",
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIMA,PIMAM4,"Picea mariana (Mill.) Britton, Sterns & Poggenb. var. mariana",
PIPU,,Picea pungens Engelm.,blue spruce
PIPU,PIPUA,Picea pungens Engelm. f. argentea Beissn.,
PIPU,PIPUG3,Picea pungens Engelm. var. glauca Regel,
PIRU,,Picea rubens Sarg.,red spruce
PIRU,PIAU2,Picea australis Small,
PINUS,,Pinus L.,pine
PIBA2,,Pinus banksiana Lamb.,jack pine
PIBA2,PIDI4,Pinus divaricata (Aiton) Sudw.,
PIEC2,,Pinus echinata Mill.,shortleaf pine
PINI,,Pinus nigra Arnold,Austrian pine
PINI,PINIA,Pinus nigra Arnold var. austriaca (Höss) Asch. & Graebn.,
PINI,PINIC2,Pinus nigra Arnold var. caramanica (Loudon) Rehder,
PINI,PINIL2,Pinus nigra Arnold ssp. laricio Maire,
PINI,PINIP,Pinus nigra Arnold ssp. pallasiana (Lamb.) Holmboe,
PINI,PIPA11,Pinus pallasiana Lamb.,
PIRE,,Pinus resinosa Aiton,red pine
PIRI,,Pinus rigida Mill.,pitch pine
PIST,,Pinus strobus L.,eastern white pine
PIST,STST6,"Strobus strobus (L.) Small, nom. inval.",
PISY,,Pinus sylvestris L.,Scots pine
PITH2,,Pinus thunbergii Parl.,Japanese black pine
PITH2,PITH3,Pinus thunbergiana Franco,
PIVI2,,Pinus virginiana Mill.,Virginia pine
PSEUD7,,Pseudotsuga Carrière,Douglas-fir
PSME,,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir
PSMEG,,Pseudotsuga menziesii (Mirb.) Franco var. glauca (Beissn.) Franco,Rocky Mountain Douglas-fir
PSMEG,PSFL3,Pseudotsuga flahaultii Flous,
PSMEG,PSMEF,Pseudotsuga menziesii (Mirb.) Franco var. flahaultii (Flous) Silba,
PSMEG,PSTAG2,Pseudotsuga taxifolia (Lamb.) Britton var. glauca (Beissn.) Sudw.,
TAXOD,,Taxodium Rich.,bald cypress
TADI2,,Taxodium distichum (L.) Rich.,bald cypress
TADI2,TADIN,Taxodium distichum (L.) Rich. var. nutans (Aiton) Sweet,
TAXUS,,Taxus L.,yew
TABA80,,Taxus baccata L.,English yew
TABA80,TABAA,Taxus baccata L. var. aurea Carrière,
TABA80,TABAF,Taxus baccata L. var. fastigiata (Lindl.) Loudon,
TABA80,TABAF2,Taxus baccata L. var. fastigiata-aurea Seneclauze,
TABA80,TABAW,Taxus baccata L. var. washingtonii (R. Sm.) Beissn.,
TACA7,,Taxus canadensis Marshall,Canada yew
TACA7,TACAA,Taxus canadensis Marshall var. adpressa (Carrière) Spjut,
TACA7,TACAM,Taxus canadensis Marshall var. minor (Michx.) Spjut,
TACU,,Taxus cuspidata Siebold & Zucc.,Japanese yew
THUJA,,Thuja L.,arborvitae
THOC2,,Thuja occidentalis L.,arborvitae
THOC2,THOCF,Thuja occidentalis L. var. fastigiata H. Jaeger,
THOC2,THOCM3,Thuja occidentalis L. f. malonyana C.K. Schneid.,
THOC2,THOCN,Thuja occidentalis L. var. nigra L.H. Bailey,
THOC2,THOCP3,Thuja occidentalis L. var. pyramidalis Zederb.,
TSUGA,,Tsuga Carrière,hemlock
TSCA,,Tsuga canadensis (L.) Carrière,eastern hemlock
