"x","y","scientific_name","common_name","observation_date","number_found","observer","organization_name","confirmed_ind","species_id_method_name_array","species_verified_by_name","follow_up_name","evaluation_type_name","has_photo_ind","confidential_ind","source_unique_id","source_record_url","imap_url","imap_id","species_type","growth_habit","jurisdiction","county","regional_management_partnership","waterbody","bulk_upload_id","bulk_upload_name","uuid","jurisdiction_species_id","projects","project_ids","approximate_ind","approximate_to"
"-73.1735198","40.7182867","Dendroctonus frontalis","Southern Pine Beetle","25-Mar-2015","","Robert Cole","New York State Department of Environmental Conservation (NYSDEC) (NY)","true","","","","","false","false","uuid:4891c392-ae6f-4433-b430-ce94e29299f2","","https://imapinvasives.natureserve.org/imap/services/page/Presence/463646.html","463646","Animal","Plant Pest","New York","Suffolk","LIISMA","","65","NY-DEC-SPB-DEC2015","","1455","NYSDEC SPB 2015 Bulk Upload","385","false",""
"-73.1534448","40.8025037","Dendroctonus frontalis","Southern Pine Beetle","05-Feb-2015","","Ann Carter","New York State Department of Environmental Conservation (NYSDEC) (NY)","true","","","","","false","false","uuid:6ed9671a-f786-4b33-bfda-441ddf0de377","","https://imapinvasives.natureserve.org/imap/services/page/Presence/463559.html","463559","Animal","Plant Pest","New York","Suffolk","LIISMA","","65","NY-DEC-SPB-DEC2015","","1455","NYSDEC SPB 2015 Bulk Upload","385","false",""
"-73.3373468","40.7410602","Dendroctonus frontalis","Southern Pine Beetle","10-Nov-2020","1","Clayton Salamon","","true","Photo ID","Bryan Ellis","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1077011.html","1077011","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","b9ed1af8-2762-4384-80ce-348b6ea0a2d9","1455","","","false",""
"-73.2421486","40.7662656","Dendroctonus frontalis","Southern Pine Beetle","01-Sep-2020","","Lindsay Charlop","Long Island Invasive Species Management Area (LIISMA)","true","Photo ID","Bryan Ellis","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1068579.html","1068579","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","4a4d5b57-9075-43b1-8a81-0dc8ba1a54e8","1455","LIISMA PRISM - General","292","false",""
"-73.2416959","40.7663487","Dendroctonus frontalis","Southern Pine Beetle","01-Sep-2020","","Lindsay Charlop","Long Island Invasive Species Management Area (LIISMA)","true","Photo ID","Bryan Ellis","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1068578.html","1068578","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","ee380e07-05b5-42e3-aa4c-821bc3e17d65","1455","LIISMA PRISM - General","292","false",""
"-73.1565308","40.7549787","Dendroctonus frontalis","Southern Pine Beetle","25-Mar-2015","","Robert Cole","New York State Department of Environmental Conservation (NYSDEC) (NY)","true","","","","","false","false","uuid:eb0a4514-8106-4214-812f-87c3efd67c2e","","https://imapinvasives.natureserve.org/imap/services/page/Presence/463642.html","463642","Animal","Plant Pest","New York","Suffolk","LIISMA","","65","NY-DEC-SPB-DEC2015","","1455","NYSDEC SPB 2015 Bulk Upload","385","false",""
"-73.1688498","40.7166647","Dendroctonus frontalis","Southern Pine Beetle","25-Mar-2015","","Robert Cole","New York State Department of Environmental Conservation (NYSDEC) (NY)","true","","","","","false","false","uuid:8ac402b1-7aeb-42fd-b819-7508084f62ed","","https://imapinvasives.natureserve.org/imap/services/page/Presence/463645.html","463645","Animal","Plant Pest","New York","Suffolk","LIISMA","","65","NY-DEC-SPB-DEC2015","","1455","NYSDEC SPB 2015 Bulk Upload","385","false",""
"-73.8552152","41.1009198","Adelges tsugae","Hemlock Woolly Adelgid","06-Nov-2017","","Sarah Travalio","New York State Office of Parks Recreation and Historic Preservation (NYS OPRHP)","true","ID by expert","","","","false","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/523637.html","523637","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","","1281","","","false",""
"-73.8536823","41.1025443","Adelges tsugae","Hemlock Woolly Adelgid","06-Nov-2017","","Sarah Travalio","New York State Office of Parks Recreation and Historic Preservation (NYS OPRHP)","true","ID by expert","","","","false","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/523638.html","523638","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","","1281","","","false",""
"-73.8501133","41.1071391","Adelges tsugae","Hemlock Woolly Adelgid","06-Nov-2017","","Sarah Travalio","New York State Office of Parks Recreation and Historic Preservation (NYS OPRHP)","true","ID by expert","","","","false","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/523639.html","523639","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","","1281","","","false",""
"-73.1613535","40.7383324","Adelges tsugae","Hemlock Woolly Adelgid","13-Jun-2020","","Benny Pernice","","true","Photo ID","Bryan Ellis","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1050018.html","1050018","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","0023634e-48a4-4c2a-bc31-4c12ca2a44b3","1281","","","false",""
"-73.1612136","40.7382332","Adelges tsugae","Hemlock Woolly Adelgid","20-Jun-2020","","Kate O'Connor","New York State Hemlock Initiative (NYSHI)","true","Photo ID","Caroline Marschner","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1054350.html","1054350","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","b1de4598-062e-46a6-a681-dd0722f11994","1281","NYS Hemlock Initiative","600","false",""
"-73.4163024","40.8076373","Adelges tsugae","Hemlock Woolly Adelgid","30-Mar-2021","","Taylor Sturm","No Organization Affiliation (NY)","true","Photo ID","Bryan Ellis","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1130981.html","1130981","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","449166e8-ec18-4468-86d3-3b560d6dde1c","1281","","","false",""
"-73.3792694","40.7862528","Adelges tsugae","Hemlock Woolly Adelgid","19-Feb-2022","","Michael Feinstein","","true","Photo ID","Caroline Marschner","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1253766.html","1253766","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","c3d9e3c7-ae9a-4c1a-b6dc-599477da3af1","1281","","","false",""
"-73.8481903","41.1009648","Adelges tsugae","Hemlock Woolly Adelgid","10-Mar-2021","","Devyani Mishra","","true","Photo ID","Caroline Marschner","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1138720.html","1138720","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","16c7c50e-bf59-4f2e-b86e-6671df2d7f46","1281","","","false",""
"-73.8468852","41.1051044","Adelges tsugae","Hemlock Woolly Adelgid","10-Mar-2021","","Devyani Mishra","","true","Photo ID","Caroline Marschner","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1138721.html","1138721","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","260a81a4-b3ce-411a-b7d2-ea58a4b01c25","1281","","","false",""
"-73.3541700","40.8802600","Lymantria dispar","Spongy Moth","22-Jul-2013","","Julie Sullivan","Long Island Invasive Species Management Area (LIISMA)","true","","","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/336395.html","336395","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","","1320","","","false",""
"-73.9767402","41.0593573","Popillia japonica","Japanese Beetle","11-Jul-2021","4","Ronald Lindahl","","true","Photo ID","Jennifer Dean - Admin","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1150293.html","1150293","Animal","Plant Pest","New York","Rockland","Lower Hudson","","","","a8663487-2290-4128-a2a6-04594a86a7b9","1512","","","false",""
