lon,lat,common_name,number_found,observation_date,county
-73.9729617,40.7790633,Spotted Lanternfly,1.0,01-Oct-2021,New York
-73.9729217,40.7791133,Spotted Lanternfly,1.0,01-Oct-2021,New York
-73.9730133,40.779075,Spotted Lanternfly,1.0,01-Oct-2021,New York
-73.9728617,40.7790333,Spotted Lanternfly,1.0,01-Oct-2021,New York
-73.9986837,40.6529428,Spotted Lanternfly,1.0,30-Sep-2021,Kings
-73.9498667,40.8320167,Spotted Lanternfly,1.0,29-Sep-2021,New York
-73.949905,40.8320383,Spotted Lanternfly,1.0,29-Sep-2021,New York
-73.949805,40.8316033,Spotted Lanternfly,1.0,29-Sep-2021,New York
-73.9498967,40.8320117,Spotted Lanternfly,1.0,29-Sep-2021,New York
-73.9498667,40.8320117,Spotted Lanternfly,1.0,29-Sep-2021,New York
-73.9498533,40.832,Spotted Lanternfly,1.0,29-Sep-2021,New York
-73.9498667,40.8320117,Spotted Lanternfly,1.0,29-Sep-2021,New York
-73.9576808,40.801063,Spotted Lanternfly,1.0,02-Oct-2021,New York
-73.8780349,40.5667468,Spotted Lanternfly,1.0,02-Oct-2021,Queens
-74.01031,40.635001,Spotted Lanternfly,1.0,02-Oct-2021,Kings
-73.941925,40.8260217,Spotted Lanternfly,1.0,02-Oct-2021,New York
-73.9628917,40.65995,Spotted Lanternfly,1.0,02-Oct-2021,Kings
-73.9669419,40.8011152,Spotted Lanternfly,1.0,27-Sep-2021,New York
-73.9698128,40.7776087,Spotted Lanternfly,1.0,03-Oct-2021,New York
-73.9697404,40.7776025,Spotted Lanternfly,1.0,03-Oct-2021,New York
-73.9698021,40.7776127,Spotted Lanternfly,1.0,03-Oct-2021,New York
-73.8412087,40.7188745,Spotted Lanternfly,1.0,03-Oct-2021,Queens
-73.9886167,40.74252,Spotted Lanternfly,1.0,03-Oct-2021,New York
-73.965399,40.690719,Spotted Lanternfly,1.0,03-Oct-2021,Kings
-73.9439617,40.7252583,Spotted Lanternfly,1.0,03-Oct-2021,Kings
-73.8925378,40.6845774,Spotted Lanternfly,1.0,04-Oct-2021,Queens
-74.0040512,40.7078761,Spotted Lanternfly,1.0,06-Sep-2021,New York
-73.9451183,40.8170793,Spotted Lanternfly,1.0,07-Oct-2021,New York
-73.989448,40.6523938,Spotted Lanternfly,1.0,05-Oct-2021,Kings
-74.1989488,40.5918958,Spotted Lanternfly,1.0,05-Oct-2021,Richmond
-74.0141678,40.6901131,Spotted Lanternfly,1.0,06-Oct-2021,New York
-74.0141144,40.6901398,Spotted Lanternfly,1.0,06-Oct-2021,New York
-73.9791177,40.6227102,Spotted Lanternfly,1.0,07-Oct-2021,Kings
-74.0141754,40.6900406,Spotted Lanternfly,1.0,06-Oct-2021,New York
-74.14222,40.54279,Spotted Lanternfly,1.0,06-Oct-2021,Richmond
-73.9498693,40.7760645,Spotted Lanternfly,1.0,07-Oct-2021,New York
-73.98375,40.7490883,Spotted Lanternfly,1.0,08-Oct-2021,New York
-73.9607083,40.7210533,Spotted Lanternfly,1.0,08-Oct-2021,Kings
-74.0248038,40.6868129,Spotted Lanternfly,1.0,08-Oct-2021,New York
-73.9342728,40.7667274,Spotted Lanternfly,1.0,09-Oct-2021,Queens
-73.9674739,40.6782712,Spotted Lanternfly,1.0,09-Oct-2021,Kings
-74.0173638,40.6901467,Spotted Lanternfly,1.0,09-Oct-2021,New York
-74.0110936,40.7109202,Spotted Lanternfly,1.0,31-Aug-2021,New York
-73.9786613,40.7117465,Spotted Lanternfly,1.0,12-Oct-2021,New York
-74.0022525,40.7055521,Spotted Lanternfly,1.0,06-Sep-2021,New York
-73.9907889,40.6628111,Spotted Lanternfly,1.0,06-Sep-2021,Kings
-73.8914867,40.6856333,Spotted Lanternfly,1.0,12-Oct-2021,Queens
-74.155647,40.6367613,Spotted Lanternfly,1.0,12-Oct-2021,Richmond
-73.98787,40.7796083,Spotted Lanternfly,1.0,12-Oct-2021,New York
-73.9503926,40.8081918,Spotted Lanternfly,1.0,12-Oct-2021,New York
-74.031175,40.6413583,Spotted Lanternfly,1.0,13-Oct-2021,Kings
-73.9729606,40.7790891,Spotted Lanternfly,1.0,14-Oct-2021,New York
-73.9729444,40.7791395,Spotted Lanternfly,1.0,14-Oct-2021,New York
-74.1495633,40.5835038,Spotted Lanternfly,1.0,06-Sep-2021,Richmond
-74.0544783,40.5996167,Spotted Lanternfly,1.0,06-Oct-2021,Richmond
-73.9581133,40.807105,Spotted Lanternfly,1.0,18-Oct-2021,New York
-74.0006028,40.74487,Spotted Lanternfly,1.0,13-Oct-2021,New York
-73.9949417,40.7120283,Spotted Lanternfly,1.0,06-Sep-2021,New York
-73.9601974,40.7296677,Spotted Lanternfly,1.0,06-Sep-2021,Kings
-73.8416849,40.6557238,Spotted Lanternfly,1.0,05-Sep-2021,Queens
-73.7438602,40.741422,Spotted Lanternfly,1.0,06-Sep-2021,Queens
-73.9950036,40.5824991,Spotted Lanternfly,1.0,05-Sep-2021,Kings
