lon,lat,observation_date,county,Spotted Lanternfly
-73.9729617,40.7790633,01-Oct-2021,New York,1
-73.9729217,40.7791133,01-Oct-2021,New York,1
-73.9730133,40.779075,01-Oct-2021,New York,1
-73.9728617,40.7790333,01-Oct-2021,New York,1
-73.9986837,40.6529428,30-Sep-2021,Kings,1
-73.9498667,40.8320167,29-Sep-2021,New York,1
-73.949905,40.8320383,29-Sep-2021,New York,1
-73.949805,40.8316033,29-Sep-2021,New York,1
-73.9498967,40.8320117,29-Sep-2021,New York,1
-73.9498667,40.8320117,29-Sep-2021,New York,1
-73.9498533,40.832,29-Sep-2021,New York,1
-73.9498667,40.8320117,29-Sep-2021,New York,1
-73.9576808,40.801063,02-Oct-2021,New York,1
-73.8780349,40.5667468,02-Oct-2021,Queens,1
-74.01031,40.635001,02-Oct-2021,Kings,1
-73.941925,40.8260217,02-Oct-2021,New York,1
-73.9628917,40.65995,02-Oct-2021,Kings,1
-73.9669419,40.8011152,27-Sep-2021,New York,1
-73.9698128,40.7776087,03-Oct-2021,New York,1
-73.9697404,40.7776025,03-Oct-2021,New York,1
-73.9698021,40.7776127,03-Oct-2021,New York,1
-73.8412087,40.7188745,03-Oct-2021,Queens,1
-73.9886167,40.74252,03-Oct-2021,New York,1
-73.965399,40.690719,03-Oct-2021,Kings,1
-73.9439617,40.7252583,03-Oct-2021,Kings,1
-73.8925378,40.6845774,04-Oct-2021,Queens,1
-74.0040512,40.7078761,06-Sep-2021,New York,1
-73.9451183,40.8170793,07-Oct-2021,New York,1
-73.989448,40.6523938,05-Oct-2021,Kings,1
-74.1989488,40.5918958,05-Oct-2021,Richmond,1
-74.0141678,40.6901131,06-Oct-2021,New York,1
-74.0141144,40.6901398,06-Oct-2021,New York,1
-73.9791177,40.6227102,07-Oct-2021,Kings,1
-74.0141754,40.6900406,06-Oct-2021,New York,1
-74.14222,40.54279,06-Oct-2021,Richmond,1
-73.9498693,40.7760645,07-Oct-2021,New York,1
-73.98375,40.7490883,08-Oct-2021,New York,1
-73.9607083,40.7210533,08-Oct-2021,Kings,1
-74.0248038,40.6868129,08-Oct-2021,New York,1
-73.9342728,40.7667274,09-Oct-2021,Queens,1
-73.9674739,40.6782712,09-Oct-2021,Kings,1
-74.0173638,40.6901467,09-Oct-2021,New York,1
-74.0110936,40.7109202,31-Aug-2021,New York,1
-73.9786613,40.7117465,12-Oct-2021,New York,1
-74.0022525,40.7055521,06-Sep-2021,New York,1
-73.9907889,40.6628111,06-Sep-2021,Kings,1
-73.8914867,40.6856333,12-Oct-2021,Queens,1
-74.155647,40.6367613,12-Oct-2021,Richmond,1
-73.98787,40.7796083,12-Oct-2021,New York,1
-73.9503926,40.8081918,12-Oct-2021,New York,1
-74.031175,40.6413583,13-Oct-2021,Kings,1
-73.9729606,40.7790891,14-Oct-2021,New York,1
-73.9729444,40.7791395,14-Oct-2021,New York,1
-74.1495633,40.5835038,06-Sep-2021,Richmond,1
-74.0544783,40.5996167,06-Oct-2021,Richmond,1
-73.9581133,40.807105,18-Oct-2021,New York,1
-74.0006028,40.74487,13-Oct-2021,New York,1
-73.9949417,40.7120283,06-Sep-2021,New York,1
-73.9601974,40.7296677,06-Sep-2021,Kings,1
-73.8416849,40.6557238,05-Sep-2021,Queens,1
-73.7438602,40.741422,06-Sep-2021,Queens,1
-73.9950036,40.5824991,05-Sep-2021,Kings,1
-73.9432217,40.74677,21-Oct-2021,Queens,1
-73.9653389,40.6611306,23-Oct-2021,Kings,1
-73.9968643,40.6866684,23-Oct-2021,Kings,1
-73.8363283,40.75987,24-Oct-2021,Queens,1
-73.83628,40.7598967,24-Oct-2021,Queens,1
-73.9678116,40.7781029,28-Oct-2021,New York,1
-74.1966672,40.5358477,28-Oct-2021,Richmond,1
-73.9241011,40.8505941,28-Oct-2021,New York,1
-74.0191691,40.6546225,05-Sep-2021,Kings,1
-74.0179221,40.6540536,05-Sep-2021,Kings,1
-74.0134677,40.6553256,05-Sep-2021,Kings,1
-73.9632245,40.6497783,05-Sep-2021,Kings,1
-74.0191631,40.68813,04-Sep-2021,New York,1
-74.0211294,40.6530121,06-Nov-2021,Kings,1
-74.1772,40.5321833,26-Oct-2021,Richmond,1
-74.0084026,40.7396548,28-Oct-2021,New York,1
-73.9849083,40.7860301,30-Oct-2021,New York,1
-73.8332383,40.840575,31-Oct-2021,Bronx,1
-73.9024827,40.7734594,02-Nov-2021,Queens,1
-73.9618533,40.6928167,05-Sep-2021,Kings,1
-73.9429416,40.7755174,05-Sep-2021,New York,1
-74.1078771,40.6335617,05-Sep-2021,Richmond,1
-73.9110168,40.6975015,04-Sep-2021,Kings,1
-73.9888641,40.7768779,04-Sep-2021,New York,1
-73.9987687,40.652992,04-Sep-2021,Kings,1
-73.9988261,40.6530077,04-Sep-2021,Kings,1
-73.9131041,40.7537856,03-Sep-2021,Queens,1
-73.9576797,40.7962151,04-Sep-2021,New York,1
-74.0137191,40.7031591,04-Sep-2021,New York,1
-74.123295,40.579986,04-Sep-2021,Richmond,1
-73.7785825,40.7964248,04-Sep-2021,Queens,1
-73.97018,40.7534128,02-Sep-2021,New York,1
-73.9835007,40.7255812,07-Jun-2022,New York,1
-73.8995803,40.5581238,03-Sep-2021,Queens,1
-73.9391653,40.749731,03-Sep-2021,Queens,1
-73.9361002,40.8570262,03-Sep-2021,New York,1
-73.9873967,40.695045,03-Sep-2021,Kings,1
-74.0152778,40.6927778,03-Sep-2021,New York,1
-73.8718806,40.6419987,03-Sep-2021,Kings,1
-74.0115635,40.7037951,06-Sep-2021,New York,1
